111##111##1##2026-05-04 18:33:23##2026-05-04 18:33:23##3562.2##2026-05-19 18:08:18##7##110430.5##0
222##222##0##2026-05-04 18:33:28##2026-05-04 18:33:28##0.3##2026-05-04 18:33:47##1##0.0##0
333##333##2##2026-05-04 18:33:53##2026-05-04 18:33:53##0.5##2026-05-04 18:33:55##1##0.0##0
444##444##0##2026-05-04 18:34:02##2026-05-04 18:34:02##0.6##2026-05-04 18:34:05##1##443.4##0
555##555##0##2026-05-04 18:34:15##2026-05-04 18:34:15##0.6##2026-05-04 18:34:18##1##554.4##0
666##666##0##2026-05-04 18:34:22##2026-05-04 18:34:22##0.6##2026-05-04 18:34:26##1##665.4##0
777##777##0##2026-05-04 18:34:31##2026-05-04 18:34:31##0.6##2026-05-04 18:34:35##1##776.4##0
888##888##0##2026-05-04 18:34:39##2026-05-04 18:34:39##0.6##2026-05-04 18:34:43##1##887.4##0
999##999##0##2026-05-04 18:34:47##2026-05-04 18:34:47##0.6##2026-05-04 18:34:52##1##998.4##0
000##000##0##2026-05-04 18:34:58##2026-05-04 18:34:58##0.6##2026-05-04 18:35:03##1##999.4##0
789##789##0##2026-05-16 07:56:50##2026-05-16 07:56:50##0.2##2026-05-16 07:57:18##2##788.8##0
123##123##0##2026-05-16 08:08:47##2026-05-16 08:08:47##0.0##2026-05-16 08:08:47##0##123.0##0
234##234##0##2026-05-16 08:08:55##2026-05-16 08:08:55##0.0##2026-05-16 08:08:55##0##234.0##0
12345##12345##0##2026-05-16 08:09:02##2026-05-16 08:09:02##0.0##2026-05-16 08:09:02##0##12345.0##0
12345678##12345678##0##2026-05-16 08:27:28##2026-05-16 08:27:28##0.0##2026-05-16 08:27:28##0##12345678.0##0
345##345##0##2026-05-16 08:34:04##2026-05-16 08:34:04##0.0##2026-05-16 08:34:53##1##345.0##0
456##456##2##2026-05-16 08:45:44##2026-05-16 08:45:44##0.0##2026-05-16 08:45:49##1##0.0##0
9527##9527##2##2026-05-19 17:22:58##2026-05-19 17:22:58##0.0##2026-05-19 17:22:58##0##0.0##0
